,P. Kur,Ilwaki,Larat,Adault/Lingat,P. Leti,Saumlaki,Kaisui,Dawera / Dawelor,Dobo.1,Kisar,Namrole.1,Dobo.2,Tabarfane,Makassar,Arwala/ Sutilirang,Weduar,Kasiui,Elat,Tanjung Perak,Tam,Molu,Eray,Wamsisi,Kelang,Wunlah,P. Geser,Tutukembong,Dobo,Werinama,Kelimuri,Waemulang,Kisar.1,Bebar,Namlea.1,Marlasi,Tepa,Kisar 1,Lelang,P. Tior,Namrole,Banda Eli,Longgar,Moa,Kelimoi,P. Manawoka,Namlea,Manipa,Kaimer,Toyando,Mangur,Lewa/Dai,Seira,Sofyanin/Rumayaan,P. Kesui,Gorom,Banda Neira,Geser,Rumean,Banda Neira.1,Taniwel,Tifu,Moa.1,Nila,Marlasi.1,Jerol,Kobisadar,Werinama.2,Adault / Lingat,Lelam Kojabi,Dawera/Dawelor,Wahai,Ambalau,Tual,Mun,Buano,Kroing,Kisar1,Fadol,Sofyanin/ Rumayaan,Romang,Marsela,Serua,Amahai,Holat,P.Geser,Teon,Ambon,Nurkat,Saumlaki.1,Tanjung Priok,P. Luang,Arwala/Sutilirang,Fogi,Wulur,Kailakat,Werinama.1,Benjina,Meror,Bula,Lewa / Dai,Leksula,Lakor
Lewa/Dai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofyanin/Rumayaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Kesui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banda Neira,27099.97,60819.78,39305.3,,52958.72,,21514.48,42408.35,,,,,57716.73,,54406.81,41994.61,,40960.26,,32271.72,33306.07,63095.35,37443.47,34547.29,39098.43,,49028.19,,13653.42,12412.2,47786.97,,35995.38,,62474.74,40960.26,56061.770000000004,47580.1,22755.7,,44683.92,70956.41,,18411.43,18204.56,,34133.55,27099.97,32478.59,28961.8,,42615.22,,22135.09,19652.65,,14480.9,41374.0,,47786.97,43028.96,,27720.58,,60612.91,34133.55,,47166.36,71783.89,,38064.08,33926.68,,40546.520000000004,40339.65,41994.61,,27513.71,41580.87,49028.19,44063.31,21721.350000000002,19238.91,37029.73,,31857.98,,34961.03,,,50062.54,,51717.5,35581.64,20687.0,,58130.47,69094.58,26272.49,37236.6,46132.01,50269.41
Geser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banda Neira.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taniwel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
